F_name;Linf;K;A
Prionotus punctatus;42.3;0.13;2.2745
Prionotus stephanophrys;36.4;0.1955;3.0561
Pristipomoides filamentosus;81.367;0.28467;8.1351
Pristipomoides multidens;59.6;0.19767;4.4726
Pristipomoides typus;52;0.254;5.1883
Pronotogrammus martinicensis;10.63;0.641;3.9806
Protonibea diacanthus;122;0.315;12.198
Psettodes erumei;48.733;0.325;6.3233
Pseudochaenichthys georgianus;62.6;0.243;5.7046
Pseudophycis bachus;72.5;0.44;11.532
Pseudopleuronectes americanus;55.667;0.31667;6.8075
Pseudopleuronectes herzensteini;44.1;0.18;3.2493
Pseudopleuronectes yokohamae;38.88;0.3064;5.0324
Pseudotolithus elongatus;46.7;0.274;5.1633
Pseudotolithus senegalensis;58.1;0.628;13.941
Pseudotolithus typus;81.56;0.3056;8.7489
Pterogymnus laniarius;46.425;0.54;10.131
Pterois volitans;40.967;0.40333;6.8894
Rachycentron canadum;130.4;0.35453;14.431
Rastrelliger brachysoma;20.9;3.384;34.892
Rastrelliger kanagurta;31.295;1.0393;14.505
Reinhardtius hippoglossoides;111.48;0.0912;3.3005
Rexea solandri;98.313;0.227;7.4761
Rhabdamia gracilis;5;2.67;9.4174
Rhabdosargus sarba;25.2;1.355;16.076
Rhomboplites aurorubens;63;0.198;4.6705
Rhombosolea leporina;38.7;1.727;28.266
Rhombosolea plebeia;59.9;0.235;5.3374
Rhombosolea tapirina;54;0.25;5.2532
Sarda lineolata;171.5;0.33;16.497
Sarda orientalis;266;0.075;5.2109
Sarda sarda;81.794;0.38514;11.05
Sardina pilchardus;18.729;0.54258;5.1528
Sardinella aurita;28.157;0.61929;7.985
Sardinella longiceps;20.767;2.38;24.423
Sardinella maderensis;24.4;0.082;0.94962
Sardinella sindensis;20.8;0.54;5.548
Sardinella zunasi;12.95;0.562;4.047
Sardinops sagax;25.062;0.5386;6.3638
Sargocentron diadema;16.8;1.129;9.8825
Sarpa salpa;37.3;0.27;4.2987
Saurida elongata;56.7;0.185;4.0323
Saurida tumbil;73;0.15525;4.0899
Saurida undosquamis;56.25;0.221;4.7882
Scarus frenatus;25.9;0.448;5.4256
Scarus ghobban;27.5;0.473;5.9917
Scarus niger;25.4;0.367;4.3801
Scarus psittacus;19.35;0.7685;7.479
Scarus rubroviolaceus;29;0.589;7.7644
Scarus schlegeli;28.8;0.224;2.9375
Sciaena umbra;49.35;0.1835;3.6041
Sciaenops ocellatus;93.225;0.43125;13.648
Scolopsis taeniata;23.4;1.17;13.131
Scomber australasicus;53;0.28;5.8017
Scomber colias;47.553;0.26712;5.1025
Scomber japonicus;39.8;0.27713;4.6321
Scomber scombrus;40.529;0.41943;7.1067
Scomberesox saurus;34.5;0.71;10.661
